Employee ID,Department,Salary,Experience,Gender,Attrition,Performance,Education
EMP100337,Marketing,1761586,13,Female,No,Average,MBA
EMP100338,IT,1304917,7,Male,No,Excellent,b.tech
EMP100339,Administration,1615826,13,Male,No,Average,MBA
EMP100340,R&D,1371221,8,Female,No,Average,M.Com
EMP100341,Customer Support,1461776,11,Male,No,Good,M.Com
EMP100342,R&D,1513872,9,Female,No,Poor,PhD
EMP100343,Administration,1180603,9,Female,No,Poor,BBA
EMP100344,Marketing,652633,3,Female,Yes,Good,M.Tech
EMP100345,Finance,1776485,15,Female,Yes,Excellent,M.Sc
EMP100346,Customer Support,1189507,9,Female,No,Average,M.Sc
EMP100348,Sales,413850,0,Female,Yes,Good,MCA
EMP100349,Customer Support,637256,3,Female,No,Good,PhD
EMP100350,R&D,1218719,6,Male,No,Excellent,PhD
EMP100351,Marketing,1415558,10,Male,No,Average,PhD
EMP100352,Finance,512694,0,Male,No,Poor,MCA
EMP100353,HR,749684,4,Male,No,Good,M.Com
EMP100354,Finance,800864,5,Male,No,Good,PhD
EMP100355,Marketing,1368563,8,Male,No,Excellent,BBA
EMP100356,Legal,1432011,9,Female,No,Good,BE
EMP100357,Operations,1894781,12,Female,No,Excellent,MBA
EMP100358,Marketing,2047448,11,Male,No,Good,B.Sc
EMP100359,IT,1159747,5,Male,No,Good,M.Tech
EMP100360,Operations,461741,0,Male,No,Excellent,M.Tech
EMP100361,Marketing,955980,5,Male,No,Good,B.Com
EMP100362,Legal,1134103,5,Female,No,Excellent,MCA
EMP100363,Administration,1389849,12,Female,No,Average,BE
EMP100364,IT,1440417,7,Male,No,Good,BCA
EMP100365, it ,1155681,7,Male,No,good,M.Sc
EMP100366,Marketing,784377,6,Male,No,Good,M.Tech
EMP100367,IT,1531995,10,Male,No,Good,B.Sc
EMP100368,Legal,1165253,4,Female,No,Average,M.Tech
EMP100369,Customer Support,1548751,11,Female,No,Good,M.Sc
EMP100370,Finance,1404195,7,Female,No,Good,BBA
EMP100371,Legal,1734666,9,Male,No,Poor,B.Sc
EMP100372,IT,1215025,10,Male,No,Average,M.Tech
EMP100373,HR,1037484,9,Female,No,Average,B.Tech
EMP100374,Customer Support,1691295,14,Female,No,Average,M.Sc
EMP100375,Operations,1514726,13,Male,No,Average,MBA
EMP100376,Marketing,379009,0,Female,No,Excellent,PhD
EMP100377,Sales,1749241,14,Female,No,Good,BCA
EMP100378,Marketing,2137760,11,Male,No,Poor,M.Com
EMP100379,IT,586200,1,Female,No,Excellent,MCA
EMP100380,Operations,1897330,11,Male,No,Average,M.Sc
EMP100381,Operations,1160264,8,Female,No,Good,PhD
EMP100382,Finance,1206559,8,Female,No,Good,BBA
EMP100383,R&D,2083453,12,Female,No,Average,B.E.
EMP100384,Finance,1191528,9,Female,No,Average,B.Com
EMP100385,Operations,601410,2,Male,No,Good,B.Sc
EMP100386,Marketing,1240670,7,Female,No,Average,B.Tech
EMP100387,Customer Support,780203,5,Male,Yes,Good,M.Com
EMP100388,Operations,1061957,8,Male,No,Good,B.Sc
EMP100389,IT,1535185,8,Male,No,Excellent,BE
EMP100390,Administration,973869,9,Male,No,Good,M.Tech
EMP100391,Administration,1098996,7,Male,No,Good,MBA
EMP100392,Marketing,805269,6,Male,No,Poor,B.Com
EMP100393,Operations,935752,6,Male,No,Good,M.Sc
EMP100394,HR,485095,0,Male,Yes,Good,B.Sc
EMP100395,Legal,2243541,15,Male,No,Good,M.Sc
EMP100396,Customer Support,1404712,14,Female,No,Average,MCA
EMP100397,Sales,2156895,19,Male,No,Average,PhD
EMP100398,HR,426883,0,Female,No,Excellent,B.Sc
EMP100399,R&D,2620455,16,Female,No,Poor,PhD
EMP100400,Customer Support,1146775,7,Female,No,Excellent,MBA
EMP100401,Finance,782462,2,Male,No,Excellent,PhD
EMP100402,Administration,1160646,8,Male,No,Excellent,M.Tech
EMP100403,Sales,1715690,11,Male,No,Excellent,M.Com
EMP100404,Customer Support,912095,6,Male,No,Average,BE
EMP100405,Finance,973517,5,Female,Yes,Good,B.Tech
EMP100406,Administration,684751,5,Female,No,Excellent,BCA
EMP100407,Sales,766201,5,Male,No,Average,BCA
EMP100408,Finance,448170,1,Male,No,Excellent,B.Tech
EMP100409,Marketing,1179217,8,Male,No,Poor,M.Com
EMP100410,Administration,1236559,7,Male,No,Good,M.Sc
EMP100411,Marketing,1082557,7,Male,No,Excellent,B.Tech
EMP100412,Marketing,527351,0,Female,No,Average,MBA
EMP100413,Operations,820848,6,Female,No,Good,B.Com
EMP100414,Sales,493694,0,Female,No,Average,B.Tech
EMP100415,Sales,1590129,12,Female,No,Good,PhD
EMP100416,Marketing,789752,5,Male,No,Good,B.Sc
EMP100417,R&D,1102266,5,Male,Yes,Good,M.Com
EMP100418,Operations,641180,3,Male,No,Good,PhD
EMP100419,R&D,1018754,5,Male,No,Excellent,BBA
EMP100420,Marketing,1468837,9,Female,No,Good,PhD
EMP100421,Customer Support,548011,3,Male,Yes,Good,M.Sc
EMP100423,IT,2651750,19,Male,Yes,Good,BBA
EMP100424,Marketing,702097,3,Male,No,Good,BCA
EMP100425,Marketing,454016,0,Female,Yes,Good,MCA
EMP100426,Marketing,1975304,13,Female,No,Good,B.Sc
EMP100427,R&D,523944,0,Male,No,Average,BCA
EMP100428,Customer Support,789130,5,Female,No,Average,MCA
EMP100429,Legal,2143436,13,Male,No,Average,BBA
EMP100430,Sales,921218,5,Male,No,Average,B.Sc
EMP100431,R&D,1764958,15,Female,No,Good,MCA
EMP100432,Customer Support,1246841,8,Male,No,Average,M.Sc
EMP100433,Sales,1033046,6,Female,No,Excellent,M.Sc
EMP100434,Sales,1459606,8,Female,No,Good,M.Com
EMP100435,Marketing,1467689,9,Male,No,Average,BBA
EMP100436,HR,1326072,8,Female,No,Excellent,M.Tech
EMP100437,Legal,2556471,11,Male,No,Average,PhD
EMP100438,IT,2339518,13,Female,No,Average,M.Tech
EMP100439,Customer Support,377284,0,Female,Yes,Good,MCA
EMP100440,R&D,2454831,19,Female,No,Good,MCA
EMP100441,Sales,1735512,14,Male,No,Excellent,B.Com
EMP100442,Operations,467260,0,Male,No,EXCELLENT,BBA
EMP100443,Administration,2133545,16,Male,No,Good,M.Sc
EMP100444,Customer Support,410757,0,Male,No,Average,MCA
EMP100445,IT,782550,3,Male,Yes,Poor,MCA
EMP100446,Sales,583889,3,Female,Yes,Good,MBA
EMP100447,R&D,2249617,15,Male,Yes,Excellent,B.Sc
EMP100448,Administration,714452,5,Male,No,Good,BE
EMP100449,Marketing,1656796,12,Female,No,Good,PhD
EMP100450,Marketing,429114,1,Female,No,Average,B.Tech
EMP100451,Administration,1101490,10,Female,No,Good,B.Sc
EMP100452,HR,393926,0,Male,No,Good,PhD
EMP100453,IT,2153603,14,Female,No,Good,B.Sc
EMP100454,Marketing,378991,0,Female,No,Average,B.Com
EMP100455,Legal,1979481,14,Male,No,Excellent,M.Sc
EMP100456,Sales,979984,5,Male,No,Excellent,B.Sc
EMP100457,Operations,1560746,11,Female,No,Good,M.Sc
EMP100458,Finance,1980067,12,Female,No,Average,M.Com
EMP100459,R&D,1297900,8,Male,No,Average,M.Tech
EMP100460,Operations,1415925,10,Male,No,Good,BE
EMP100462,Legal,2835525,18,Male,No,Average,MBA
EMP100463,Customer Support,895395,5,Female,No,Good,B.Tech
EMP100464,Sales,959082,5,Female,No,Good,M.Sc
EMP100465,Sales,1927414,15,Male,No,Good,M.Sc
EMP100466,Legal,3495575,16,Female,Yes,Average,BBA
EMP100467,Marketing,1369157,7,Male,Yes,Poor,BBA
EMP100468,Sales,2713443,17,Female,Yes,Poor,M.Tech
EMP100469,HR,950000,11,Female,No,Excellent,MCA
EMP100470,Finance,1091852,4,Female,No,Excellent,M.Com
EMP100471,HR,1072876,10,Male,No,Good,PhD
EMP100472,R&D,892508,4,Male,No,Average,MBA
EMP100473,Operations,1247290,10,Male,No,Good,M.Sc
EMP100474,Marketing,484760,0,Male,Yes,Average,M.Sc
EMP100475,R&D,1245050,9,Male,No,Excellent,M.Sc
EMP100476,Administration,1080366,10,Male,No,Good,M.Tech
EMP100477,Administration,2292991,16,Female,No,Average,B.Sc
EMP100478,Administration,1475906,14,Female,No,Good,BCA
EMP100479,IT,1478406,10,Male,No,Excellent,M.Tech
EMP100480,Legal,1179688,6,Female,No,Average,B.Tech
EMP100481,IT,1133522,6,Male,No,Average,MBA
EMP100482,HR,1272647,8,Female,No,Good,B.Tech
EMP100483,Operations,1084538,9,Male,No,Excellent,B.E.
EMP100484,Customer Support,1053226,7,Male,No,Good,B.Tech
EMP100485,Operations,506032,1,Female,No,Average,B.Tech
EMP100486,IT,1424188,10,Female,No,Good,M.Tech
EMP100488,Customer Support,1155092,8,Female,No,Good,B.Com
EMP100489,IT,1219459,8,Male,Yes,Excellent,BBA
EMP100490,R&D,1295648,7,Female,No,Good,PhD
